word,synset
attendance,attendance.n.01
attendant,attendant.s.02
attendant,attendant.n.02
attendant,attendant.n.01
attended,accompanied.a.02
attendee,attendant.n.02
attending,attendance.n.01
attending,attention.n.01
attention,attention.n.01
attention,care.n.01
attentive,heedful.a.01
attenuated,attenuate.s.01
attest,attest.v.01
attest,testify.v.01
attic,loft.n.02
attic,attic.n.03
attire,attire.n.01
attitude,position.n.04
attract,attract.v.01
attract,attract.v.02
attraction,attraction.n.04
attraction,drawing_card.n.01
attraction,attraction.n.03
attractiveness,attraction.n.03
attrition,grinding.n.03
attrition,abrasion.n.02
atypical,atypical.s.02
audio,audio.n.01
audit,audit.v.01
audition,hearing.n.06
aura,air.n.03
aura,aura.n.02
aurora,dawn.n.01
auspices,auspices.n.01
authentication,authentication.n.01
authentication,authentication.n.02
author,writer.n.01
author,generator.n.03
authoritative,authoritative.s.01
authoritative,authoritative.s.03
authoritative,authoritative.s.02
authority,agency.n.01
authority,assurance.n.01
authority,authority.n.01
authority,authority.n.06
authorization,authority.n.06
authorization,authority.n.01
authorization,authorization.n.04
authorization,mandate.n.01
authorize,authorize.v.01
authorize,empower.v.01
authorized,authoritative.s.03
authorship,writing.n.01
authorship,authorship.n.02
auto,car.n.01
automaton,automaton.n.01
autonomous,autonomous.s.01
avail,avail.n.01
available,available.s.03
avatar,embodiment.n.01
avenue,avenue.n.02
aver,allege.v.01
aver,affirm.v.02
avert,debar.v.02
aviation,air_travel.n.01
aviator,aviator.n.01
avoid,invalidate.v.01
avoid,debar.v.02
await,expect.v.03
awake,wake_up.v.02
awake,alert.s.03
awaken,awaken.v.01
awaken,wake_up.v.02
award,award.n.02
award,award.n.01
award,prize.n.01
award,award.v.02
awarding,award.n.01
aware,aware.a.01
aware,mindful.a.01
awareness,awareness.n.01
away,away.r.01
away,away.r.02
away,aside.r.06
away,off.r.02
away,aside.r.02
away,away.s.03
ax,ax.n.01
axe,ax.n.01
axiom,maxim.n.01
axis,bloc.n.01
azure,azure.n.01
b,barn.n.02
babble,ripple.v.02
babble,spill_the_beans.v.01
babe,baby.n.05
babe,baby.n.01
baby,pamper.v.01
baby,child.n.03
baby,baby.n.01
baby,baby.n.05
babysitter,babysitter.n.01
back,back.r.02
back,back.s.02
back,back.r.04
back,second.v.01
back,bet_on.v.01
back,back.v.01
back,binding.n.05
back,spinal_column.n.01
back,rear.n.05
backbone,backbone.n.02
